height,found_at,value,pool_scoring_hashrate_ghps,user_scoring_hashrate_ghps,user_reward
736827,2022-05-17 21:06:28,6.42895691,12032033867.129534,1366179.2989684683,0.00071732
736882,2022-05-18 06:56:44,6.39812502,12494652282.579123,1366418.7103770785,0.00068759
736906,2022-05-18 11:18:42,6.34006725,12681739931.650858,1364151.8878033971,0.00067022
736914,2022-05-18 12:29:20,6.38804415,12508576144.980633,1351615.7175008964,0.00067832
736916,2022-05-18 12:34:05,6.25857134,12473192298.935497,1346255.233039163,0.00066378
736924,2022-05-18 13:33:59,6.25286135,12346558153.706617,1361658.741212139,0.00067766
736940,2022-05-18 16:27:40,6.41915430,12333200519.77734,1366978.2049992895,0.00069911
736952,2022-05-18 17:50:56,6.31700534,12263664758.172222,1354138.3913294205,0.00068543
736956,2022-05-18 19:01:12,6.45078385,12186697369.664974,1362525.936934541,0.00070876
736978,2022-05-18 22:55:43,6.26101452,12026090083.211294,2137010.8391405214,0.00109226
737017,2022-05-19 07:20:03,6.30277113,12470789470.017878,2115016.930380792,0.00104966
737026,2022-05-19 08:34:06,6.28407824,12606948104.298952,2112523.611955301,0.00103406
737031,2022-05-19 10:10:20,6.47550933,12574513820.962103,2070110.2131852023,0.00104646
737032,2022-05-19 10:23:21,6.42865367,12564801399.488892,2082463.2578925632,0.00104610
737034,2022-05-19 10:29:38,6.34461067,12546391284.548717,2093644.6861348301,0.00103959
737039,2022-05-19 11:18:12,6.33976595,12499204044.740467,2091341.869912312,0.00104166
737043,2022-05-19 12:37:02,6.46977902,12518939494.81212,2124338.0086723347,0.00107806
737071,2022-05-19 18:40:48,6.43656454,12186473784.238708,2123704.634947532,0.00110152
737111,2022-05-20 01:06:20,6.32945956,12678305686.855076,2182738.819358231,0.00107224
737114,2022-05-20 01:47:05,6.42234251,12577071795.260025,2207039.351011221,0.00110919
737121,2022-05-20 03:12:45,6.39586134,12655965123.265856,2288783.9015448494,0.00113909
737133,2022-05-20 05:45:49,6.35553908,12667518677.953773,2331382.5310488893,0.00115217
737177,2022-05-20 13:20:25,6.33584563,12637465844.848518,2358939.9811499775,0.00116494
737181,2022-05-20 14:14:41,6.42405438,12728084344.343224,2351753.3211602815,0.00116935
737234,2022-05-21 00:40:14,6.43868246,12307274517.161568,2569424.1534018386,0.00132592
737267,2022-05-21 07:46:05,6.40827382,13057601843.294958,2685077.76669874,0.00130062
737289,2022-05-21 11:39:54,6.43288873,12555473304.469944,2681222.038367936,0.00135584
737290,2022-05-21 11:46:45,6.30082428,12584323091.065758,2686507.1195555776,0.00132739
737296,2022-05-21 13:09:00,6.48531478,12700493308.418928,2700752.466204454,0.00136113
737299,2022-05-21 13:36:04,6.42162898,12620142536.728888,2683029.8993246886,0.00134740
737312,2022-05-21 15:26:28,6.34361024,12460114830.11078,2700624.2266464964,0.00135704
737321,2022-05-21 17:03:39,6.32884039,12402401837.9255,2703774.02013066,0.00136181
737382,2022-05-22 01:29:49,6.36857830,12307644746.039387,2700018.8873960353,0.00137891
737383,2022-05-22 01:47:48,6.33514777,12345864655.466465,2694539.581057092,0.00136476
737453,2022-05-22 16:37:31,6.41841019,12619216649.222996,2696277.363572759,0.00135354
737460,2022-05-22 17:55:36,6.34131989,12710346102.863655,2696762.0810978957,0.00132785
737478,2022-05-22 21:16:38,6.27107930,12677964252.28904,2668901.293942851,0.00130316
737514,2022-05-23 03:10:59,6.26257165,12757109190.938013,2658848.825263465,0.00128851
737520,2022-05-23 03:47:27,6.25228698,12810458335.670185,2683112.7413731893,0.00129266
737527,2022-05-23 05:14:56,6.28855625,12770424002.007858,2667192.1380722816,0.00129646
737576,2022-05-23 13:31:37,6.41759063,12717839678.296387,2647856.1498010736,0.00131905
737590,2022-05-23 14:37:15,6.31167142,12908988310.47084,2677299.4788872944,0.00129197
737617,2022-05-23 18:22:43,6.32969674,12738819076.328785,2651963.0012659407,0.00130068
737623,2022-05-23 18:40:18,6.27574205,12735471292.388605,2653183.181082684,0.00129041
737654,2022-05-24 01:04:29,6.29213513,12703777937.306517,2675244.1564364955,0.00130787
737660,2022-05-24 02:48:40,6.33283803,12872144529.316423,2673830.7891771565,0.00129840
737662,2022-05-24 03:00:36,6.27907516,12817653426.804434,2673504.4877805742,0.00129274
737665,2022-05-24 03:43:45,6.34361899,12775627822.15945,2669081.9436213593,0.00130814
